Fertilizer,x1,y,x2
A,2.110220618,10.36805304,0
A,2.248655037,10.60838361,0
A,2.185684576,11.27127446,0
A,1.100134136,8.98088207,0
A,5.810537717,16.47017981,0
A,2.762305303,12.08825356,0
A,3.428863158,12.62641271,0
A,4.659764541,15.85794947,0
A,3.889161465,14.41743095,0
A,4.232871826,13.86721159,0
B,5.746464293,23.44062729,1
B,0.135547757,16.06705979,1
B,1.080710001,16.65542747,1
B,3.884080491,19.41246511,1
B,1.208320297,16.723479,1
B,0.122638865,15.89678569,1
B,3.880777017,21.89208293,1
B,1.111445588,15.81527064,1
B,4.835832579,20.55546387,1
B,3.090238586,20.68681629,1
