Year,GDP (in billions of USD)
2014,10364.12
2013,9594.59
2012,8471.35
2011,7495.56
2010,6045.37
2009,5059.72
2008,4660.79
2007,3624.72
2006,2745.33
2005,2279.32
2004,1941.75
2003,1649.93
2002,1461.91
2001,1332.25
2000,1215.26
1999,1189.45
1998,1025.28
1997,968.16
1996,860.84
1995,737.01
1994,562.26
1993,626.53
1992,490.85
1991,411.31
1990,398.51
1989,463.91
1988,405.71
1987,325.14
1986,298.56
1985,312.84
1984,310.54
1983,302.45
1982,281.8
1981,287.36
1980,303.76
1979,265.59
1978,216.81
