rate,city
13.75,1
11,1
13.25,1
13.5,1
14,1
13,1
12,1
12.75,1
12.5,1
12.25,1
13,1
12.5,1
12.25,2
11,2
12.75,2
11.5,2
12.5,2
12.4,2
11.3,2
11.9,2
12,2
11.9,2
11.8,2
11,2
10,2
9.8,2
10.5,2
15.5,3
13.5,3
14.4,3
14,3
15,3
14,3
12,3
14.5,3
13.5,3
14.5,3
14.25,3
14,3
14.5,3
12,3
18,4
16,4
15.75,4
16.59,4
16.25,4
16.97,4
16.5,4
17.25,4
15.89,4
10.5,5
10,5
11,5
10.9,5
10.75,5
10.25,5
10,5
12,5
9.45,5
9.5,6
8.25,6
9.25,6
10,6
8,6
9,6
10,6
9.9,6
8.9,6
